run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-31_09-47-10_result_normal_V101_MaskRandom_run8,f_dataset-V101_stereo_imu,GT_V101,0.037074896990543844,0.03452039852621173,0.08140751894590653,0.013523685608995655,0.034443363122619614,1.0088618045447273
2026-01-31_09-47-10_result_normal_V101_MaskRandom_run9,f_dataset-V101_stereo_imu,GT_V101,0.03784775173679093,0.03494843853489078,0.08407369639173001,0.0145278682366933,0.0348249043541414,1.008036770028306
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run1,f_dataset-V102_stereo_imu,GT_V102,0.03526374976625081,0.020244500086554935,0.1973818188699505,0.028873729648630966,0.013772491239840236,1.005201990755389
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run10,f_dataset-V102_stereo_imu,GT_V102,0.021308873398157076,0.019045493582974523,0.045134692995168584,0.009557052876256498,0.016725290277195656,1.008838059734506
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run2,f_dataset-V102_stereo_imu,GT_V102,0.017532259261281855,0.015445405620274414,0.0704608562876805,0.00829575554304723,0.012909242600162914,1.0051799440097526
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run3,f_dataset-V102_stereo_imu,GT_V102,0.02196686667101574,0.018857909542309835,0.06012405316516599,0.011265987707974916,0.015586899159934676,1.008099381157396
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run4,f_dataset-V102_stereo_imu,GT_V102,0.017861350252125277,0.0163016042314124,0.04223758179134778,0.007299693987523935,0.015432116683017243,1.0073163489605423
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run5,f_dataset-V102_stereo_imu,GT_V102,0.01855806552184524,0.017056942066252856,0.04494695747965371,0.007311807113265152,0.016012485088766515,1.0073007202747817
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run6,f_dataset-V102_stereo_imu,GT_V102,0.021969086477821097,0.018354561208762922,0.13012622624850098,0.012072731401955288,0.015583506461100566,1.0077078941116608
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run7,f_dataset-V102_stereo_imu,GT_V102,0.017173623142965198,0.015574555779749243,0.04141768089691102,0.007236473182432813,0.01468734945044725,1.0071200502033677
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run8,f_dataset-V102_stereo_imu,GT_V102,0.019156877487762684,0.01691535733619227,0.04598163715304001,0.008992032099034958,0.015204262321295178,1.0077055380742534
2026-01-31_09-47-10_result_normal_V102_MaskRandom_run9,f_dataset-V102_stereo_imu,GT_V102,0.02094073456256609,0.014643653783581121,0.21966094712855544,0.014969227364378569,0.011607221309761011,1.0032257702552032
2026-01-31_09-47-10_result_normal_V103_MaskRandom_run1,f_dataset-V103_stereo_imu,GT_V103,0.025419003701169746,0.022971961014983125,0.06733937263688958,0.010881854450698026,0.020234444793971372,1.0105941418662954
2026-01-31_09-47-10_result_normal_V103_MaskRandom_run10,f_dataset-V103_stereo_imu,GT_V103,0.025250814947345438,0.02243403844544852,0.18299939310116092,0.011589545915747585,0.020310781693171638,1.0101369237313242
2026-01-31_09-47-10_result_normal_V103_MaskRandom_run2,f_dataset-V103_stereo_imu,GT_V103,0.02626112568291898,0.022955878043198045,0.06464629928681481,0.012754386908036175,0.02035494329593933,1.0121111381417622
2026-01-31_09-47-10_result_normal_V103_MaskRandom_run3,f_dataset-V103_stereo_imu,GT_V103,0.03067432570636978,0.027607184325196064,0.08941396460699247,0.013370027343842888,0.023360096319744207,1.0084379996507133
2026-01-31_09-47-10_result_normal_V103_MaskRandom_run4,f_dataset-V103_stereo_imu,GT_V103,0.023659844853197647,0.02116334871241036,0.0866948848195646,0.010578323579580171,0.01944071437943354,1.0096875822385545
2026-01-31_09-47-10_result_normal_V103_MaskRandom_run5,f_dataset-V103_stereo_imu,GT_V103,0.025058922332505566,0.022957141337237676,0.07256803501496052,0.010045857359560673,0.023000687933562282,1.0104243558963872
2026-01-31_09-47-10_result_normal_V103_MaskRandom_run6,f_dataset-V103_stereo_imu,GT_V103,0.03211614565672371,0.02800725367476468,0.0803498380265803,0.015717523769387894,0.02270621620581484,1.010961554286705
2026-01-31_09-47-10_result_normal_V103_MaskRandom_run7,f_dataset-V103_stereo_imu,GT_V103,0.026308780142252578,0.023719379564439442,0.17029186044444192,0.011381693443922838,0.02141690521277776,1.009159713768808
