run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-26_21-29-20MH02run1,f_dataset-MH02_stereo_inertial,GT_MH02,0.6558902794648347,0.49947348984796036,1.948023096277109,0.4251097406971034,0.3293846283094418,0.962188751611397
2026-01-26_21-29-20MH02run10,f_dataset-MH02_stereo_inertial,GT_MH02,1.455926901958519,1.155318691634294,5.173050969209733,0.8859807360247486,0.8650088119998822,0.8250633039746956
2026-01-26_21-29-20MH02run2,f_dataset-MH02_stereo_inertial,GT_MH02,3.8920789872073445,3.1517725892930213,21.50585162908999,2.28355170470084,2.4445058024000623,0.44630018743451244
2026-01-26_21-29-20MH02run3,f_dataset-MH02_stereo_inertial,GT_MH02,1.9466924015853515,1.550384548660164,6.92958859513498,1.177250635024659,1.1830852596277697,0.7398393551722777
2026-01-26_21-29-20MH02run4,f_dataset-MH02_stereo_inertial,GT_MH02,0.5594012365092318,0.45466955914469254,1.98008626450845,0.3258916006822336,0.38752895244314356,0.9710500051305586
2026-01-26_21-29-20MH02run5,f_dataset-MH02_stereo_inertial,GT_MH02,1.9691542978441305,1.5326864477249835,6.954546937670685,1.2363012989066144,1.1880076556899453,0.7419275108563675
2026-01-26_21-29-20MH02run6,f_dataset-MH02_stereo_inertial,GT_MH02,0.25060989987054977,0.22359078045781405,0.7820626297303775,0.1131922471169849,0.21101023156950166,1.0095406914267622
2026-01-26_21-29-20MH02run7,f_dataset-MH02_stereo_inertial,GT_MH02,1.4065908248582577,1.058438192206429,4.465243148955655,0.9263942691177554,0.731093317722341,0.8593743826955992
2026-01-26_21-29-20MH02run8,f_dataset-MH02_stereo_inertial,GT_MH02,1.0728919802216874,0.8723576816596788,3.60716385246337,0.624571274133997,0.7029943625562968,0.906252594916876
2026-01-26_21-29-20MH02run9,f_dataset-MH02_stereo_inertial,GT_MH02,1.6207631115436882,1.1948538824514776,4.970938691064775,1.095078656230414,0.6460941320861654,0.8293545112497586
2026-01-26_21-29-20MH03run1,f_dataset-MH03_stereo_inertial,GT_MH03,2.4297646877119896,2.013991102314756,5.105469862213673,1.359263137677593,1.2823448544912721,0.6835061081365472
2026-01-26_21-29-20MH03run10,f_dataset-MH03_stereo_inertial,GT_MH03,0.4068653313055284,0.24149153309997703,3.351378551637529,0.3274465410710276,0.16847807362556555,1.0131850067249153
2026-01-26_21-29-20MH03run2,f_dataset-MH03_stereo_inertial,GT_MH03,0.34382794926539256,0.2858799555526664,1.7337004825544895,0.19102436941199646,0.23195073368054275,1.0019377388949822
2026-01-26_21-29-20MH03run3,f_dataset-MH03_stereo_inertial,GT_MH03,1.5328995807353591,1.2347449719696646,5.178678325645977,0.9083974784279579,0.7923937758731308,0.8440396044027463
2026-01-26_21-29-20MH03run4,f_dataset-MH03_stereo_inertial,GT_MH03,0.37494888103502605,0.25819748834208606,3.5811710889598194,0.2718836523280805,0.22597601606419798,1.0078046289374747
